aqi_24h,aqi_72h,aqi_rolling_max_24h_lag48h,aqi,no2_rolling_std_24h_lag48h,co_rolling_std_24h_lag48h,aqi_lag_120h,o3_rolling_std_24h_lag48h,aqi_lag_96h,aqi_rolling_std_48h_lag48h,aqi_lag_144h,aqi_rate_change_72h_lag48h,aqi_lag_72h,so2_rolling_std_24h_lag48h,aqi_lag_48h
103.22634,94.926506,101.86180877685547,114.94284,5.0030731071239005,163.32214532717202,143.98785,10.717924445717845,111.095474,12.326816265903664,155.5803,-48.14129,113.53727,0.9601320734864274,95.846565
109.93614,113.085846,117.6616439819336,111.916245,8.71781325910122,265.0664243863011,153.13202,16.34559937269503,110.40808,7.702930653377258,155.8729,-57.338028,110.93133,1.412993966325419,95.79399
85.874825,103.60595,110.77742767333984,103.626465,5.750016229534471,177.03167138067815,119.74435,12.118104783134902,117.035805,10.174282074129723,126.11558,-14.712311,95.50483,0.6788828791120849,105.032036
95.25072,96.757866,109.19744873046875,107.66504,4.885281309096323,154.05886349182026,118.913315,11.45933759164715,113.48597,12.311501299695195,128.94724,-16.507744,96.05687,0.9945212122151452,102.40557
103.01089,94.68991,110.77742767333984,110.88003,5.440751816964526,161.53556813970442,123.448074,12.08421443413368,109.92588,11.108270000422564,125.35636,-24.289276,96.94188,0.922617748700486,99.1588
101.23597,113.53727,117.03580474853516,116.76905,4.171556637180252,127.51878466046067,139.96608,12.343160380242741,122.38107,12.935041980608574,154.30023,-43.979317,111.85469,1.2284534887265919,95.98676
92.46423,88.56491,110.77742767333984,109.946396,5.489923711639871,160.6602362714934,122.63756,11.934072262241228,115.732834,10.849901401373137,152.15529,-27.202827,101.86181,0.6862575386336816,95.43473
107.66504,86.89127,117.6616439819336,116.80195,8.52779042411968,260.1479776686952,128.94724,15.755222092374778,118.913315,7.316836020574324,155.98262,-32.890366,113.48597,1.403387731641791,96.05687
109.05381,110.428604,117.6616439819336,111.56742,8.768415091486196,257.5960110606737,148.33794,16.779469896495492,119.436554,8.015157836243812,153.7043,-53.21866,116.851135,1.381591290147786,95.11928
85.67329,91.807045,110.77742767333984,101.68739,5.7868299697620555,173.75933141640922,118.02073,12.163866189527818,108.51005,10.494219744272556,140.6227,-13.778687,95.17185,0.6795140964046827,104.24204
