aqi_48h,aqi_rolling_max_24h_lag72h,co_rolling_std_24h_lag72h,aqi_24h,no2_rolling_std_24h_lag72h,aqi_lag_144h,aqi_lag_96h,o3_rolling_std_24h_lag72h
70.268776,153.55799865722656,328.3109302836167,76.9721,10.735350892881902,151.17426,152.46939,31.313970921187614
86.14646,155.07472229003906,307.68124628307675,92.63979,9.631277908880127,151.47546,153.3321,28.810286265740537
79.43437,155.07472229003906,298.85314437844784,76.98963,10.867210991916025,151.6906,154.85744,32.16941856182959
70.794525,155.07472229003906,313.2707143647577,76.63913,9.287907684965043,151.3894,154.1066,27.032360827478676
70.952255,155.07472229003906,314.8408315200186,80.1601,10.720579168622926,151.61745,154.68318,29.19494799952418
89.914345,155.07472229003906,315.0719140383082,71.59192,10.639473720290061,152.22844,154.63585,29.009683941719253
71.15379,155.07472229003906,283.2606856180114,80.23176,10.754340040655503,151.32056,152.20692,33.28991078587502
70.04971,155.07472229003906,331.74327702749014,73.949036,10.345600423097844,152.50166,153.80756,28.752252266237218
85.77596,152.07354736328125,308.9686752470609,93.67976,9.76425220942967,151.72287,153.558,32.60299882884859
70.461555,155.07472229003906,289.0825263693682,73.08154,9.46856568276463,151.1721,153.16429,26.66802437185036
99.50362,155.07472229003906,313.214821280355,77.86588,10.295777730940257,151.29904,154.78214,28.728333224484366
95.05794,155.07472229003906,290.1874453870958,76.71799,10.87639438939218,151.18932,151.74654,31.855081154473865
88.08298,155.07472229003906,301.9342380235668,77.12983,8.73535757261181,152.86955,154.40779,26.94717264792538
91.66685,153.55799865722656,305.44154423101816,78.66327,10.586454098328916,152.75984,155.07472,30.568335873697702
70.496605,155.07472229003906,296.6781120033472,81.40807,8.833164482524126,151.27968,153.66342,26.638679133042483
71.898605,155.07472229003906,291.78270999479696,78.251434,9.831799167486535,151.2388,154.87895,28.941746314320245
98.67164,155.07472229003906,275.49084721524264,79.3818,10.663575789041637,151.21729,151.97888,33.750024588698416
93.375534,153.55799865722656,313.6127388406951,75.973175,10.728467449109505,152.9427,152.18326,31.767755656289538
70.02343,155.07472229003906,301.3225136014958,76.77056,8.828733972624915,151.3894,153.08685,26.70646468723395
81.91416,155.07472229003906,306.57648665671087,77.79578,9.776486327258585,151.54,154.41855,29.674424165843376
71.30276,153.55799865722656,304.0462540772647,74.92168,10.529369605734628,151.76805,152.79855,31.767755656289538
71.59192,155.07472229003906,316.61170642199437,82.37858,10.295073369762727,151.56151,152.68669,29.56941749022458
84.10479,155.07472229003906,307.21850575190473,72.30168,9.717917319214981,151.92725,154.94995,27.083780703587443
85.56797,155.07472229003906,290.54419317642794,81.25697,10.392791378914193,151.7745,154.03561,32.082355385494836
103.38023,152.07354736328125,280.49131885878484,70.952255,7.3203013928900615,148.54314,151.9337,29.371411218425756
107.35071,149.17922973632812,240.7030466972862,85.77596,5.214276014866062,145.39342,143.35176,11.753098745266723
117.65138,121.21147155761719,157.57637546276683,107.35071,4.8973802769514085,153.558,131.55318,12.229900647681923
141.07413,131.5531768798828,159.76548618435163,99.658264,4.949065977923261,152.46939,133.68718,12.310748181133466
106.81721,152.07354736328125,302.32430676328124,70.04971,9.716065664850431,145.8551,151.938,31.910190090530115
106.15034,133.6871795654297,161.40729628575687,102.220894,4.976440978336667,152.18326,129.24477,12.704589491260593
107.053185,152.07354736328125,283.49630166842917,99.50362,7.0140251329753465,59.238846,142.58229,29.03910192909516
141.27931,148.00962829589844,235.8407674839994,46.5748,4.568991243170631,154.1066,111.26989,12.238200306650556
99.658264,149.17922973632812,235.87748588924103,70.268776,5.169505363408671,145.01382,151.27968,14.316956032542445
121.662895,148.00962829589844,155.2980544988648,104.61139,4.720181641594728,154.85744,146.80925,12.767386244609044
139.16583,148.00962829589844,178.11084977935,96.64396,5.04701677969477,151.97888,145.18823,12.948868434030965
102.82622,151.27967834472656,272.13831505524695,71.30276,5.025750517595149,147.06575,144.27513,15.334249060058514
107.44305,152.07354736328125,293.30224244985584,81.91416,9.559430170665626,109.893555,145.33186,30.48276000104667
121.25898,148.00962829589844,217.1476920717479,107.289154,4.8858451760914825,154.87895,107.49435,13.004342816112944
124.894684,133.6871795654297,156.61200519043607,106.4889,4.822583939869612,151.74654,148.00963,12.925160896698454
104.89866,152.07354736328125,276.4251887843427,70.02343,6.291136931779404,151.32916,145.51654,27.76948679410827
104.29334,133.6871795654297,158.57141318162334,101.97466,4.860130216995302,155.07472,109.77199,12.883362891509906
141.32036,148.00962829589844,215.46989830686195,106.858246,4.859185314192062,154.03561,108.46901,13.029042495853638
129.17294,149.17922973632812,237.85059030768284,107.44305,5.302898080641516,154.41855,109.228226,12.683928438968332
103.79062,152.07354736328125,280.5096326307002,71.59192,8.637520644347063,149.65117,151.42598,29.802617276301916
102.34401,152.07354736328125,285.64678142939835,89.914345,7.483448802546962,151.31625,146.53224,29.292448527436832
108.57161,148.00962829589844,236.06804490497976,101.6361,4.541836693989424,154.94995,135.893,11.566855108347776
102.220894,151.27967834472656,234.0676895144261,93.375534,5.040978426418312,151.29474,148.91248,13.931045318844973
101.22571,152.07354736328125,269.2009043612074,88.08298,5.494488432955158,147.75314,151.5529,25.757238447569666
107.2276,149.17922973632812,239.8190490829873,103.38023,4.736713285522951,154.68318,117.620605,12.182767797285512
98.18616,151.78311157226562,287.29758988511105,71.15379,5.519970685212052,147.41457,151.49051,18.439937344477944
105.98618,152.07354736328125,268.67765292595834,70.496605,5.926450956796246,147.58899,148.08145,27.140308558487412
106.4889,151.78311157226562,273.46900648921405,95.05794,5.260427084122153,151.01291,147.65054,18.572217005382807
104.61139,151.78311157226562,286.31283412622986,79.43437,5.4371399940219955,148.15326,151.04948,18.580883225275244
118.13358,149.17922973632812,240.2033785669388,103.79062,5.289048326323002,152.68669,138.11935,12.473000571465963
96.64396,151.78311157226562,289.526812689259,98.67164,5.347579490894435,148.27638,141.50502,18.560229274492844
115.49686,148.00962829589844,214.87243610580714,105.98618,4.6357779882621575,153.66342,143.62877,12.577271592715903
133.52303,149.17922973632812,238.70048503460225,103.58543,5.363468409258932,153.3321,107.37123,12.635437996022599
110.01822,148.00962829589844,236.96281079375464,107.053185,4.593217906278077,154.78214,112.95247,12.110888723025951
107.289154,151.78311157226562,263.5450095971054,71.898605,5.318980755495709,149.82559,140.99205,22.57699030233141
113.475716,149.17922973632812,233.57801915423732,106.81721,5.250088836989028,153.80756,142.40787,12.21638470101891
46.5748,152.07354736328125,295.5253099847719,70.794525,6.602531989434279,148.84067,151.6992,27.800343714717446
104.05737,133.6871795654297,162.17324574937848,102.82622,4.991328909616016,152.79855,126.60804,12.90288546859518
105.22697,148.00962829589844,216.02330409407793,101.22571,4.701170498554493,154.40779,107.001884,12.894157991653646
103.58543,152.07354736328125,292.7573211764994,86.14646,9.60143850920336,151.09897,149.58961,30.976424760243795
140.45854,148.00962829589844,217.3254908000941,101.164154,4.894852121641021,153.16429,140.17128,13.05644990295053
111.63924,148.00962829589844,236.50455244141077,102.34401,4.713205282568668,154.63585,149.17923,12.293937573900255
101.97466,151.27967834472656,271.48061765093763,91.66685,5.033926404129887,147.19913,151.78311,17.008964939148203
136.86768,148.00962829589844,238.27451065653247,104.89866,4.675269641389892,153.08685,141.55632,12.686281272445418
101.6361,152.07354736328125,287.96262491396794,84.10479,6.8973227513453494,151.33347,151.25386,28.07233552848826
101.164154,151.78311157226562,261.82419319042253,70.461555,5.439674218972201,147.84547,152.07355,24.57853425731057
